Date,Time,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
05-09-2021,05:00,4,45.44333333,20.35666667,70.01366667,687.6,64.39576667,128.8166667,30.72833333,69.42333333
05-09-2021,06:00,4,42.79333333,19.29333333,64.64813333,738.788,56.39726667,129.69,30.97666667,67.615
05-09-2021,07:00,4,28.0245283,12.82075472,61.3715283,702.9520755,46.05573585,121.6075472,31.96226415,63.0754717
05-09-2021,08:00,4,34.36833333,15.82666667,55.71648333,712.621,36.00893333,124.45,33.52833333,59.23
05-09-2021,09:00,4,29.71333333,13.85166667,50.0565,994.346,21.70573333,157.6366667,35.005,55.34666667
05-09-2021,10:00,4,24.685,11.4,48.38795,898.464,15.65196667,133.62,35.835,52.86166667
05-09-2021,11:00,4,21.08,10.39833333,59.44618333,793.223,16.21656667,132.7466667,36.39166667,51.245
05-09-2021,12:00,4,26.21833333,12.565,80.12311667,782.527,28.54366667,120.0833333,34.95666667,56.39833333
05-09-2021,13:00,4,30.99166667,14.59333333,134.56365,890.824,84.8782,117.9,33.09666667,65.26333333
05-09-2021,14:00,4,33.475,15.545,101.6834,1018.03,59.72213333,131.4366667,35.465,57.46833333
05-09-2021,15:00,4,58.355,27.035,72.17296667,961.876,25.75203333,127.5066667,36.49166667,51.28166667
05-09-2021,16:00,4,53.78333333,24.775,74.10325,1801.512,33.81326667,138.86,36.24166667,51.215
05-09-2021,17:00,4,48.945,20.88333333,81.36635,1603.636,46.4854,153.7066667,33.66,60.02833333
05-09-2021,18:00,4,34.45833333,13.865,123.3091167,820.727,81.0201,118.7733333,30.86,70.86
05-09-2021,19:00,4,20.11694915,9.423728814,115.7171864,733.6342373,81.97864407,102.579661,32.96271186,64.07118644
05-09-2021,20:00,4,17.45166667,8.655,98.21543333,756.36,72.04923333,103.49,30.46,71.57333333
05-09-2021,21:00,4,19.20666667,9.035,86.86275,754.45,64.39576667,104.3633333,30.14,71.72333333
05-09-2021,22:00,4,21.48666667,9.976666667,79.3052,679.005,61.2591,101.3066667,29.285,73.27166667
05-09-2021,23:00,4,25.355,11.64333333,76.13168333,672.129,59.5653,98.25,28.78333333,75.185
06-09-2021,00:00,4,33.08666667,15.09666667,73.71065,681.488,60.81996667,104.3633333,28.86333333,75.12166667
06-09-2021,01:00,4,32.05666667,14.66833333,72.69643333,733.631,59.25163333,104.3633333,28.88166667,74.625
06-09-2021,02:00,4,34.72,15.77166667,72.0421,751.776,62.13736667,104.8,28.765,75.39
06-09-2021,03:00,4,35.06833333,15.735,68.21425,754.068,61.13363333,105.2366667,28.71666667,76.175
06-09-2021,04:00,4,40.59,18.53,67.20003333,715.486,59.5653,106.9833333,28.86666667,75.535
06-09-2021,05:00,4,71.88333333,32.56,66.31668333,808.885,60.224,123.14,28.875,75.14
06-09-2021,06:00,4,53.93559322,24.48474576,63.5479661,901.4552542,55.24786441,133.220339,29.38135593,73.21694915
06-09-2021,07:00,4,27.95166667,12.96166667,58.00665,1413.209,42.7214,137.1133333,31.15666667,66.83
06-09-2021,08:00,4,31.23833333,13.16333333,51.16886667,2250.553,27.88496667,144.5366667,32.80166667,61.36833333
06-09-2021,09:00,4,23.775,11.415,38.37665,962.067,9.943233333,134.4933333,34.31166667,56.67
06-09-2021,10:00,4,22.58166667,11.04166667,36.47908333,771.449,5.5519,131.4366667,34.46,55.225
06-09-2021,11:00,4,20.17166667,10.035,47.7009,742.035,18.41223333,141.48,35.10166667,53.705
06-09-2021,12:00,4,22.84,10.95166667,49.99106667,1422.568,21.98803333,151.96,35.33833333,53.6
06-09-2021,13:00,4,20.24333333,9.918333333,46.49038333,1010.581,18.7259,140.17,35.68833333,51.87333333
06-09-2021,14:00,4,25.33,11.555,56.1418,812.705,24.0896,138.86,35.64833333,51.89166667
06-09-2021,15:00,4,40.09333333,18.14333333,83.32935,1216.097,44.76023333,151.96,34.63166667,55.49333333
06-09-2021,16:00,4,42.87,19.67333333,83.19848333,1629.039,45.66986667,139.7333333,34.61833333,54.45666667
06-09-2021,17:00,4,52.26333333,23.64833333,100.113,2261.058,63.01563333,139.7333333,33.12666667,61.58333333
06-09-2021,18:00,4,36.46166667,17.11,79.8941,820.345,53.3547,130.1266667,32.64166667,59.78
06-09-2021,19:00,4,46.04833333,21.215,92.98076667,775.46,63.95663333,124.45,31.90333333,64.81166667
06-09-2021,20:00,4,36.23666667,16.85833333,91.77025,749.866,63.988,116.1533333,31.39666667,66.4
06-09-2021,21:00,4,29.69,14.19833333,91.4758,675.949,62.73333333,104.8,30.93833333,68.06666667
06-09-2021,22:00,4,36.96,17.31,84.14726667,656.658,61.60413333,112.2233333,30.81666667,68.63666667
06-09-2021,23:00,4,42.27333333,19.93333333,76.557,659.714,58.56156667,120.0833333,30.775,67.92166667
07-09-2021,00:00,4,23.1,11.22758621,78.01232759,628.9168966,57.56324138,102.5413793,30.40344828,69.18448276
07-09-2021,01:00,4,25.93833333,12.28666667,79.63236667,653.984,62.07463333,100.87,30.23166667,70.36
07-09-2021,02:00,4,21.24666667,10.455,76.65515,643.097,59.62803333,93.44666667,30.14666667,69.95
07-09-2021,03:00,4,21.75666667,10.51666667,75.11746667,651.692,60.44356667,102.18,29.68166667,71.5
07-09-2021,04:00,4,29.59333333,14.17333333,73.31805,660.096,56.99323333,104.3633333,29.54833333,70.84166667
07-09-2021,05:00,4,19.84915254,9.583050847,76.69008475,714.9874576,60.79816949,103.4677966,29.55254237,71.28813559
07-09-2021,06:00,4,25.02,11.78833333,76.78601667,835.052,58.09106667,113.0966667,30.54,68.53333333
07-09-2021,07:00,4,26.24,12.54166667,75.24833333,918.328,46.5795,127.5066667,32.035,64.40833333
07-09-2021,08:00,4,20.44833333,10.21333333,59.8715,802.2,26.50483333,113.5333333,33.59166667,59.365
07-09-2021,09:00,4,20.97833333,10.40166667,58.59555,784.055,20.73336667,119.6466667,34.49833333,56.84333333
07-09-2021,10:00,4,22.885,11.06333333,63.33946667,838.872,25.46973333,124.8866667,34.77666667,56.38333333
07-09-2021,11:00,4,22.83833333,11.11,69.06488333,779.853,31.053,127.07,35.06666667,55.54333333
07-09-2021,12:00,4,23.49166667,11.63333333,49.63118333,1222.209,11.26063333,162.44,37.12,50.25
07-09-2021,13:00,4,30.34833333,14.535,53.68805,796.088,7.4339,141.48,37.06166667,50.08333333
07-09-2021,14:00,4,39.71166667,18.53,77.11318333,1174.65,20.2315,156.3266667,36.48166667,50.74
07-09-2021,15:00,4,57.88333333,26.55,112.7416333,1383.795,45.76396667,134.4933333,35.29333333,55.25333333
07-09-2021,16:00,4,57.235,26.22166667,145.2947167,937.428,79.20083333,115.7166667,31.36,70.62166667
07-09-2021,17:00,4,49.55833333,22.63833333,146.4070833,836.58,108.5600333,107.42,30.47333333,74.82
07-09-2021,18:00,4,45.04666667,20.55833333,118.3689,885.858,95.91926667,115.28,30.45666667,75.09166667
07-09-2021,19:00,4,51.23666667,23.18666667,108.3903167,819.772,95.38603333,104.3633333,30.44,76.03666667
07-09-2021,20:00,4,45.67666667,20.83333333,101.2253667,841.737,96.98573333,106.5466667,30.40166667,76.01833333
07-09-2021,21:00,4,54.24666667,24.23666667,90.4943,762.09,87.01113333,103.0533333,30.44333333,76.00333333
07-09-2021,22:00,4,66.68103448,29.86896552,88.50422414,866.4155172,86.27996552,106.6068966,30.75172414,75.35344828
07-09-2021,23:00,4,52.92711864,23.22881356,72.76408475,793.8477966,66.09328814,107.9084746,31.15084746,73.46949153
08-09-2021,00:00,4,37.655,16.50833333,61.21288333,701.161,54.73483333,105.2366667,31.03,72.20833333
08-09-2021,01:00,4,26.81166667,12.02833333,57.94121667,653.411,51.6609,104.3633333,30.96,70.7
08-09-2021,02:00,4,24.25166667,10.95166667,59.51161667,635.839,51.6609,101.3066667,30.92666667,69.69666667
08-09-2021,03:00,4,24.98166667,10.92333333,63.43761667,658.568,53.1665,102.18,31.12833333,68.85166667
08-09-2021,04:00,4,28.59655172,11.82241379,66.94506897,673.1762069,56.42755172,103.8965517,30.29827586,72.18965517
08-09-2021,05:00,4,32.34,12.83833333,69.2939,806.402,59.53393333,106.5466667,30.18166667,73.23666667
08-09-2021,06:00,4,29.79666667,12.78333333,61.70363333,827.221,51.25313333,122.2666667,30.97166667,70.68166667
08-09-2021,07:00,4,23.505,10.84333333,52.31395,873.061,36.00893333,130.5633333,32.00333333,65.94833333
08-09-2021,08:00,4,21.87833333,10.30666667,51.59418333,949.27,29.0769,129.2533333,32.81666667,62.97833333
08-09-2021,09:00,4,20.89833333,10.19166667,58.13751667,856.253,34.31513333,132.7466667,33.06333333,62.54
08-09-2021,10:00,4,16.70338983,8.662711864,56.99354237,815.6023729,31.06894915,131.8881356,34.08474576,59.09830508
08-09-2021,11:00,4,16.85333333,8.788333333,35.39943333,827.794,6.837933333,133.1833333,35.285,54.95333333
08-09-2021,12:00,4,24.62666667,11.76333333,65.66235,1164.336,30.26883333,136.24,35.55666667,54.80166667
08-09-2021,13:00,4,30.71,14.865,67.5272,861.983,28.0418,140.17,35.80333333,53.86166667
08-09-2021,14:00,4,34.14833333,16.055,63.9938,869.814,23.6191,142.79,35.535,54.49
08-09-2021,15:00,4,20.23166667,9.915,69.16303333,836.198,41.0276,146.2833333,33.985,57.54333333
08-09-2021,16:00,4,25.8637931,12.09482759,84.57822414,1061.235517,53.70189655,149.0689655,33.36034483,61.21896552
08-09-2021,17:00,4,22.37166667,10.65333333,74.69215,879.364,51.78636667,133.62,32.62,61.30666667
08-09-2021,18:00,4,22.53,11.005,73.67793333,1192.604,52.0373,120.9566667,32.02,62.32666667
08-09-2021,19:00,4,26.13333333,12.34666667,75.5755,714.149,57.80876667,117.9,31.875,63.94
08-09-2021,20:00,4,26.94833333,12.67,74.92116667,725.036,57.8715,127.5066667,31.81666667,65.22666667
08-09-2021,21:00,4,28.97833333,13.44,73.08903333,694.094,57.84013333,120.0833333,31.81333333,66.14166667
08-09-2021,22:00,4,29.34666667,13.66,67.95251667,713.385,52.38233333,108.2933333,31.65,66.13166667
08-09-2021,23:00,4,28.68166667,13.35166667,68.3124,697.15,52.94693333,106.9833333,31.38666667,66.85166667
09-09-2021,00:00,4,27.36833333,12.69,69.26118333,666.781,53.66836667,104.8,31.19666667,67.67833333
09-09-2021,01:00,4,26.54666667,12.30166667,67.10188333,651.883,53.51153333,104.8,30.98333333,68.13333333
09-09-2021,02:00,4,26.62333333,12.48,64.74628333,653.029,52.2255,103.49,30.90833333,68.02666667
09-09-2021,03:00,4,23.53859649,11.05263158,66.60424561,661.0610526,53.15824561,104.8,30.84385965,68.44912281
09-09-2021,04:00,4,23.58166667,11.03833333,71.15875,704.599,57.90286667,104.8,30.49,70.78166667
09-09-2021,05:00,4,23.635,11.09,73.31805,806.593,60.16126667,106.5466667,30.43666667,71.25166667
09-09-2021,06:00,4,27.55666667,12.61333333,68.705,857.972,58.09106667,119.21,31.31333333,69.04833333
09-09-2021,07:00,4,23.98,11.285,52.28123333,1143.326,39.1456,131.4366667,32.44833333,63.92166667
09-09-2021,08:00,4,22.25166667,10.54,44.65825,909.733,22.74083333,123.14,33.57333333,58.78
09-09-2021,09:00,4,20.04727273,9.850909091,40.50918182,790.74,15.22709091,125.2836364,35.21818182,53.79272727
09-09-2021,10:00,4,20.725,10.26333333,26.23876667,614.065,2.979833333,134.93,36.77166667,49.75166667
09-09-2021,11:00,4,21.97333333,10.78333333,35.79203333,588.28,7.590733333,159.3833333,36.93,49.325
09-09-2021,12:00,4,26.55333333,12.30166667,117.5182667,518.374,70.63773333,122.7033333,30.79,71.84166667
09-09-2021,13:00,4,27.54833333,12.70166667,133.4512833,765.337,104.0432333,145.41,31.90666667,70.535
09-09-2021,14:00,4,25.79666667,11.89166667,105.8057,1049.545,79.67133333,153.7066667,33.21,66.415
09-09-2021,15:00,4,22.555,10.84666667,50.18736667,925.777,35.25613333,149.34,34.56333333,56.62833333
09-09-2021,16:00,4,18.26,8.831666667,69.65378333,761.708,45.57576667,114.4066667,30.93166667,68.41833333
09-09-2021,17:00,4,21.52166667,10.01,87.90968333,562.304,76.4092,108.2933333,30.02,70.67166667
09-09-2021,18:00,4,23.47333333,10.91833333,77.11318333,592.864,70.2927,110.04,30.44333333,70.385
09-09-2021,19:00,4,26.055,12.05833333,74.3977,586.752,66.49733333,109.1666667,30.54333333,71.38833333
09-09-2021,20:00,4,27.98666667,12.88,69.78465,616.166,65.1172,114.4066667,30.65333333,71.00833333
09-09-2021,21:00,4,30.32,13.88333333,68.27968333,617.885,62.2942,107.42,30.70333333,71.02666667
09-09-2021,22:00,4,32.69,14.98666667,66.51298333,600.313,61.69823333,109.1666667,30.79833333,71.04666667
09-09-2021,23:00,4,30.61,13.84333333,62.6197,580.067,55.76993333,106.9833333,30.73,70.82
10-09-2021,00:00,4,29.955,13.425,62.84871667,512.644,54.42116667,107.42,30.655,70.63333333
10-09-2021,01:00,4,32.69666667,13.925,64.15738333,532.89,57.08733333,106.11,30.55333333,71.30333333
10-09-2021,02:00,4,32.02711864,13.69830508,64.67918644,542.6989831,58.9480678,108.3525424,30.35932203,71.94745763
